Year,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969,1970,1970,1970,1970,1971,1971,1971,1971,1972,1972,1972,1972,1973,1973,1973,1973,1974,1974,1974,1974,1975,1975,1975,1975,1976,1976,1976,1976,1977,1977,1977,1977,1978,1978,1978,1978,1979,1979,1979,1979,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007
quarter,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
        Gross domestic product,542.6,541.1,545.6,540.2,545,555.5,567.7,580.6,594,600.4,609,612.3,621.7,629.8,644.4,653.9,669.8,678.7,692,697.3,717.8,730.2,749.3,771.9,795.7,805,819.6,833.3,844.2,849,865.2,881.4,909.4,934.3,950.8,968,993.3,1009,1030,1038.1,1051.2,1067.4,1086.1,1088.6,1135.2,1156.3,1177.7,1190.3,1230.6,1266.4,1290.6,1328.9,1377.5,1413.9,1433.8,1476.3,1491.2,1530.1,1560,1599.7,1616.1,1651.9,1709.8,1761.8,1820.5,1852.3,1886.6,1934.3,1988.6,2055.9,2118.5,2164.3,2202.8,2331.6,2395.1,2476.9,2526.6,2591.2,2667.6,2723.9,2789.8,2797.4,2856.5,2985.6,3124.2,3162.5,3260.6,3280.8,3274.3,3332,3366.3,3402.6,3473.4,3578.8,3689.2,3794.7,3908.1,4009.6,4084.3,4148.6,4230.2,4294.9,4386.8,4444.1,4507.9,4545.3,4607.7,4657.6,4722.2,4806.2,4884.6,5008,5073.4,5190,5282.8,5399.5,5511.3,5612.5,5695.4,5747.2,5872.7,5960,6015.1,6004.7,6035.2,6126.9,6205.9,6264.5,6363.1,6470.8,6566.6,6680.8,6729.5,6808.9,6882.1,7013.7,7115.7,7246.9,7331.1,7455.3,7522.3,7581,7683.1,7772.6,7868.5,8032.8,8131.4,8259.8,8362.7,8518.8,8662.8,8765.9,8866.5,8969.7,9121.1,9294,9417.3,9524.2,9681.9,9899.4,10002.9,10247.7,10319.8,10439,10472.9,10597.8,10596.3,10660.3,10789,10893.2,10992.1,11071.5,11183.5,11312.9,11567.3,11769.3,11920.2,12109,12303.3,12522.4,12761.3,12910,13142.9,13332.3,13603.9,13749.8,13867.5,14037.2,14208.6,14382.4,14535,14681.5
Personal consumption expenditures,326.4,332.2,332.1,334,334.5,339.5,342.3,349.6,354.8,360.5,364.3,370.6,374.3,378.4,385.4,390,399.6,407.5,416.4,419,429.7,436.6,445.8,459.7,470.1,475.2,484.3,490.1,494.3,503.5,510.7,518.2,536.3,550,566.1,575,587,598.3,608.6,620.6,631.7,641.6,653.5,660.2,679.2,693.2,705.6,721.7,738.9,757.4,775.8,800.5,825,840.5,858.9,873.9,891.9,920.4,949.3,959.1,985.2,1013.6,1047.2,1076.2,1109.9,1129.5,1158.8,1192.4,1228.2,1256,1286.9,1324.8,1354.1,1411.4,1442.2,1481.4,1517.1,1557.6,1611.9,1655,1702.3,1704.7,1763.8,1831.9,1885.7,1917.5,1958.1,1974.4,2014.2,2039.6,2085.7,2145.6,2184.6,2249.4,2319.9,2372.5,2418.2,2475.9,2513.5,2561.8,2636,2681.8,2754.1,2779.4,2823.6,2851.5,2917.2,2952.8,2983.5,3053.3,3117.4,3150.9,3231.9,3291.7,3361.9,3434.5,3490.2,3553.8,3609.4,3653.7,3737.9,3783.4,3846.7,3867.9,3873.6,3926.9,3973.3,4000,4100.4,4155.7,4227,4307.2,4349.5,4418.6,4487.2,4552.7,4621.2,4683.2,4752.8,4826.7,4862.4,4933.6,4998.7,5055.7,5130.6,5220.5,5274.5,5352.8,5433.1,5471.3,5579.2,5663.6,5721.3,5832.6,5926.8,6028.2,6102.5,6225.3,6328.9,6459.6,6613.6,6707.5,6815.4,6912.1,6986.9,7036.3,7064.7,7174.7,7209.9,7302.1,7390.9,7467.7,7555.8,7642.6,7802.6,7891.5,8027.7,8133,8264.3,8425.6,8523,8671.4,8849.2,8944.9,9090.7,9210.2,9333,9407.5,9549.4,9644.7,9753.8,9877.8
    Goods,175.1,178.4,177.5,177.1,175.6,177.6,179.2,182.9,185.5,187.8,189.5,193,195,196.7,199.9,201,206.6,210.9,216.3,215.2,222.7,225.6,230.8,239.7,246.4,247,252.1,253,253.5,258.5,260.5,263.5,274.4,280.9,290.4,292.8,298.8,302.7,306.6,310.6,314.1,317.6,321.7,321.8,333.9,339.8,343.9,350.9,357.7,368.4,377.7,391.5,407.3,412.7,420.7,425.9,435.5,448.6,464,458.1,468,481.5,502.8,513.1,530.7,539,550.5,565.1,580.4,592.9,603.9,624.3,629.2,661,672.4,691.7,707.9,722.2,753.3,768.4,792,777.8,801.9,827.5,860.1,863.8,881.1,872.5,886.3,887.9,901.8,921.1,925.9,962.6,990.8,1015.8,1037.9,1063.6,1066.6,1086.6,1110.4,1126,1156.9,1157.1,1170.9,1174.7,1216.7,1220.1,1215.9,1251.4,1281.2,1276.7,1308.8,1326.8,1341.2,1372.5,1389,1421.1,1441.9,1443.2,1489.6,1479.3,1496.7,1499.7,1485.8,1497,1508.7,1498.2,1533.8,1548.2,1573.1,1597.9,1607,1634.2,1649.2,1679.1,1705.7,1726.8,1758.9,1794.8,1788.1,1803.9,1826.2,1843.9,1871,1915.9,1925.9,1957.9,1986.6,1974.3,2020.1,2045,2044.4,2089.2,2119.9,2180.3,2204.9,2273.1,2311.3,2359,2413.1,2437.1,2469.2,2493.4,2499.2,2510.1,2515.2,2577.8,2561.9,2586.9,2618.4,2628,2657.3,2677.9,2766.2,2788.9,2843.2,2869,2911.3,2984.5,3001.9,3057.4,3137.8,3134.5,3196.8,3226.1,3273.4,3262.2,3308.1,3351.8,3380,3428.2
        Durable goods,45.5,46.4,45.9,44.7,42.2,43.3,44.6,46.7,47.7,49,49.6,51.5,52.6,53.9,54.7,55.7,58,59.5,61.4,59.4,64.9,64.8,66.7,69.1,72.3,69.7,72.3,72.6,71.1,74.5,74.7,75.6,80.9,83.1,87.5,87.8,90,90.4,90.6,90.8,89.6,91,92,87.3,98.1,101,103.4,107.3,110.7,114.1,117.6,123.4,131.8,131.3,130.8,128.2,126.7,130.6,136.3,127.1,131.8,136.7,146.8,153.4,163.3,165.9,169.8,175.5,183.9,189.2,194,200.7,198.2,216.2,216.7,222.3,223.3,222.1,230.9,229,232.1,211.9,225.4,236.2,246,240.9,251.9,236.8,246.4,249.2,252.1,264.4,268.9,289.6,302.4,319.3,331.4,341.3,342.1,353.8,368,373.3,396.5,383.8,391.6,407.3,445.7,441.1,418.5,439.1,460.5,449.9,470.4,473.2,470.4,486.2,486.5,493.3,505.6,491.9,515.4,498.4,493.6,480.9,471.7,475.2,484.3,477.5,496.2,501,512.1,523.1,527.9,547.8,556.6,573.8,588.8,598.7,609.3,631.8,621.3,626.9,642.5,652.2,659.8,676.3,679.4,689.6,705.6,696.6,722.8,737.2,737.7,769.2,785,825.2,819.9,854.8,871.2,876.3,920.9,901.9,911.7,915.8,926.8,919.5,923.9,995.9,976.2,977.4,1001.7,986.1,974.5,1007.8,1041.8,1047.1,1064.2,1066,1085,1107.1,1110,1137.9,1151.8,1114.7,1154.1,1149.2,1160.5,1169.4,1179,1185.7,1191.9,1195.6
        Nondurable goods,129.6,132,131.6,132.4,133.4,134.2,134.6,136.2,137.8,138.7,140,141.5,142.5,142.8,145.2,145.3,148.7,151.5,154.9,155.8,157.8,160.8,164.1,170.5,174.1,177.2,179.8,180.4,182.4,184,185.8,187.9,193.5,197.8,202.8,205,208.8,212.2,216,219.7,224.5,226.5,229.7,234.5,235.8,238.8,240.4,243.6,247,254.3,260.1,268.1,275.5,281.4,289.9,297.7,308.9,318,327.7,330.9,336.2,344.8,356,359.7,367.4,373.1,380.6,389.6,396.5,403.7,409.9,423.6,431.1,444.8,455.6,469.4,484.6,500.1,522.3,539.4,559.9,565.9,576.5,591.3,614,622.8,629.1,635.7,639.9,638.7,649.7,656.7,657,673,688.4,696.5,706.5,722.4,724.6,732.8,742.4,752.8,760.5,773.3,779.3,767.5,771,779,797.4,812.3,820.7,826.8,838.4,853.5,870.8,886.3,902.5,927.7,936.3,951.3,974.2,980.9,1003.1,1018.8,1014.2,1021.8,1024.4,1020.7,1037.7,1047.2,1061,1074.8,1079.1,1086.3,1092.5,1105.3,1116.8,1128.1,1149.6,1163,1166.9,1177,1183.7,1191.7,1211.2,1239.5,1246.5,1268.3,1281,1277.7,1297.3,1307.8,1306.7,1319.9,1334.8,1355.2,1384.9,1418.3,1440.1,1482.7,1492.2,1535.1,1557.5,1577.6,1572.4,1590.6,1591.4,1581.9,1585.6,1609.5,1616.7,1641.9,1682.8,1670.1,1724.5,1741.8,1779,1803,1826.3,1877.5,1892,1919.5,1986,2019.7,2042.7,2076.8,2112.9,2092.8,2129.1,2166.1,2188.2,2232.6
    Services,151.3,153.8,154.6,156.9,158.9,161.9,163.2,166.7,169.3,172.7,174.8,177.6,179.2,181.7,185.5,189,192.9,196.6,200.2,203.8,207,211.1,215,220.1,223.7,228.2,232.2,237,240.8,245,250.2,254.7,261.9,269.2,275.7,282.1,288.2,295.7,302,310,317.6,324,331.8,338.4,345.3,353.4,361.7,370.8,381.2,389,398.1,409,417.7,427.8,438.2,448,456.4,471.8,485.3,501,517.2,532,544.4,563.2,579.2,590.6,608.4,627.3,647.8,663.1,683,700.5,724.8,750.4,769.9,789.7,809.3,835.5,858.6,886.6,910.3,926.9,961.9,1004.4,1025.6,1053.7,1077,1101.9,1127.9,1151.7,1183.8,1224.5,1258.7,1286.8,1329.1,1356.7,1380.3,1412.2,1446.9,1475.2,1525.6,1555.8,1597.2,1622.3,1652.8,1676.7,1700.5,1732.7,1767.6,1801.9,1836.2,1874.2,1923.1,1965,2020.7,2062.1,2101.2,2132.7,2167.5,2210.5,2248.4,2304.2,2350,2368.2,2387.7,2429.9,2464.5,2501.9,2566.6,2607.5,2653.8,2709.3,2742.5,2784.4,2838,2873.6,2915.6,2956.3,2993.9,3031.9,3074.3,3129.7,3172.4,3211.8,3259.6,3304.6,3348.6,3394.8,3446.5,3497,3559.1,3618.6,3677,3743.4,3807,3847.9,3897.6,3952.2,4017.6,4100.6,4200.5,4270.5,4346.2,4418.7,4487.6,4526.2,4549.4,4596.9,4648.1,4715.2,4772.5,4839.8,4898.4,4964.7,5036.3,5102.6,5184.5,5264,5353,5441,5521,5614,5711.4,5810.4,5893.8,5984.2,6059.6,6145.2,6241.3,6292.9,6373.8,6449.6
Gross private domestic investment,96.5,87.1,86.4,76,78.4,84.1,90.9,92.9,98.1,96.7,98.2,95,99.7,101.7,104.6,107.2,110.5,110.5,112.6,115,126.5,127.1,131.2,133.8,144.2,143.5,143.2,145.9,142.8,137.5,142.8,147.7,152.3,158.9,155.7,160.8,172.4,172.7,177.6,171.6,168.1,171.5,173.9,166.8,189.5,197.3,202.1,198.4,213,226.8,233.1,239.7,254.3,268.2,264.3,280.9,268.4,277.4,271,281.3,244.3,243.3,265.2,276.2,304.6,322.3,328.3,337.7,360.3,389.7,414.1,422.3,434.8,470.6,492.4,515.8,525.8,539.3,545.6,547.9,554.6,519.3,495.1,551.5,619.4,609.8,652.3,643.4,588.3,593.6,593,549.2,565.5,613.8,652.3,718.5,790.9,818.9,838.9,831.7,809.9,827,822.2,859.5,863.5,855.2,835.8,842.1,871.2,874.6,876.5,946.5,908.6,934.5,942,962.7,1005.5,1001,996.5,995.8,1010.8,1014.7,1000.8,947.5,924.6,926.5,947.5,978.8,956.8,1013.1,1024.2,1058,1083.8,1094.5,1095.9,1153.1,1201.7,1264.9,1251.7,1307.6,1327.6,1304,1303.2,1335.1,1355.4,1418.4,1474.4,1480.1,1522.4,1590.2,1625.3,1644.5,1712.3,1695.8,1741.6,1797,1853.1,1848.3,1893.7,1953.1,1950.7,2075.8,2060,2067.2,1971.3,1973,1944.9,1850.1,1912.7,1933.3,1933.2,1942.5,1960.2,1972.4,2044.3,2131.3,2154.1,2262.6,2318.3,2390.1,2486.1,2476.5,2531.1,2645.3,2709.7,2709.3,2709.4,2675.4,2664.3,2699.2,2686,2642.6
    Fixed investment,85.3,83.9,82.1,81.8,80.9,82.3,84.3,86.9,88.7,91.3,92,91.6,92.8,96.8,98.9,102.1,105.4,106.1,107.9,110,115,118.5,121.9,126.2,130.3,131.2,131.3,129.4,127.4,131.2,133.6,139.2,143.9,144.9,148,154.8,160.9,163.5,167.4,165.8,166.3,166.4,168.8,170.7,177.2,186.5,191.9,198.7,209.7,214.8,219.4,232.2,243.8,250,254.6,255.9,255.8,260,265.4,260.9,254.3,257.2,266.6,275.9,289.9,299.9,307.5,327.1,345.5,370.2,383.3,398.2,409.3,446.3,467.4,487.3,502,511.9,533.5,539.3,544.7,511.5,528.9,560.6,580.6,598.1,608.3,618.6,609.8,597.8,587.2,589.1,600.6,621.5,656.5,694.6,717.9,749.6,767.5,783.8,793.6,805.4,805.9,826.4,833.1,839.6,842.9,854.8,843.2,858.1,875.4,883.4,891.6,914.9,923.8,943.6,957.4,964.8,986.6,979.3,996.9,981,978.9,958.8,940.1,944.6,946.6,947.7,956.6,989.9,1003.7,1036.6,1047.9,1070.4,1089.3,1136.5,1156.3,1183.5,1198.5,1232.4,1266.4,1270.2,1291.9,1316.7,1348.5,1387.9,1423.3,1445.4,1472.7,1501.8,1557.3,1566.9,1607.2,1658.4,1689.2,1736.9,1769.7,1813.2,1853.2,1868.9,1934.5,1985.3,2002.7,2012.9,2002,1984.6,1975,1930.9,1912.4,1912.1,1907.8,1909.5,1934.1,1978.9,2043.9,2095,2108,2188.6,2254.1,2318,2383.6,2447.6,2518.7,2558.9,2631.5,2633.7,2630.7,2631.9,2642.9,2657,2641,2615.3
